,user_id,age,gender,MS01,MS02,MS03,MS04,MS05,MS06,MS07,MS08,MS09,MS10,MS11,MS12,MS13,MS14,MS15,MS16,MS17,MS18,ME01,ME02,ME03,ME04,ME05,ME06,ME07,ME08,ME09,Validation_known,Validation_match,Remarks,prof_mean_interactions,prof_median_interactions,prof_num_interactions,prof_head_ratio,prof_mid_ratio,prof_tail_ratio,user_type
0,38X219FT3Y,26,2,2.0,-3.0,1.0,3.0,3.0,3.0,-3.0,2.0,-3.0,0.0,-3.0,3.0,0.0,-1.0,2.0,2.0,0.0,-1.0,2.0,-3.0,0.0,1.0,1.0,3.0,-2.0,-2.0,-2.0,-25.0,0.0,great study byeee,731.5950334288443,138.0,1047.0,0.1537726838586437,0.5176695319961796,0.3285577841451766,Diverse
1,OEVQITG1UM,26,1,-1.0,-1.0,-1.0,-2.0,-2.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,1.0,-2.0,3.0,-2.0,-2.0,-1.0,-2.0,0.0,-1.0,1.0,1.0,1.0,-3.0,-1.0,-20.0,-10.0,,788.6205479452054,62.0,730.0,0.1438356164383561,0.3904109589041096,0.4657534246575342,Diverse
2,Z906VCU2V3,22,2,3.0,-1.0,-3.0,-2.0,-2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,-3.0,-3.0,-3.0,2.0,-2.0,1.0,1.0,2.0,3.0,2.0,-2.0,3.0,-41.0,38.0,,531.2013348164627,96.0,899.0,0.0945494994438264,0.5027808676307007,0.4026696329254727,Niche
3,VK4SJEZ4YH,23,2,0.0,-1.0,-2.0,-2.0,-3.0,1.0,3.0,-1.0,2.0,1.0,2.0,2.0,3.0,3.0,-2.0,-3.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,1.0,2.0,1.0,2.0,2.0,2.0,17.0,,693.817864619679,182.0,1433.0,0.1256106071179344,0.5917655268667132,0.2826238660153524,Niche
4,TXY6NZALCS,24,1,2.0,-3.0,0.0,1.0,-2.0,1.0,-3.0,1.0,-1.0,0.0,-1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-2.0,0.0,-3.0,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,3.0,49.0,,752.485651214128,103.0,453.0,0.1368653421633554,0.4746136865342163,0.3885209713024282,Diverse
5,50D6P5Z9M0,25,2,-1.0,-3.0,1.0,2.0,1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,1.0,1.0,2.0,1.0,-3.0,-3.0,-3.0,-1.0,-2.0,1.0,-1.0,1.0,1.0,1.0,-3.0,2.0,20.0,-5.0,,679.6954177897574,63.0,371.0,0.1725067385444744,0.3477088948787062,0.4797843665768194,Diverse
6,9SJYDK30YP,33,2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,-1.0,2.0,-3.0,3.0,2.0,3.0,3.0,-1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0,-3.0,2.0,2.0,-1.0,-2.0,-1.0,-10.0,11.0,"sometimes the songs wouldn't play (but I searched them in spotify to listen to, it was just a few times)",918.9086378737542,152.5,1204.0,0.196843853820598,0.4742524916943522,0.3289036544850498,Diverse
7,X7JBGVG2UP,23,2,1.0,-2.0,-3.0,-3.0,-3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,-1.0,-3.0,-3.0,-3.0,1.0,-3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,-22.0,25.0,,728.2669039145908,204.0,1686.0,0.1470937129300118,0.5919335705812574,0.2609727164887307,Diverse
8,K15YBJGZXC,24,2,-1.0,-2.0,-1.0,-2.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,-3.0,-3.0,-1.0,-2.0,1.0,1.0,1.0,0.0,0.0,1.0,-2.0,,,,,,,,,,
9,P0V21X6PEW,23,1,-3.0,-3.0,-3.0,3.0,-3.0,3.0,3.0,3.0,3.0,1.0,-3.0,3.0,3.0,3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,3.0,3.0,3.0,3.0,-3.0,2.0,20.0,41.0,"The last playlist made way more sense than the first three. But in any case, this is not how you discover songs or at least not how I discover new songs. Maybe the study would be better if people could listen to a full playlist and not just 30-second snippets. I just don't really get the point of this study as the recommendations were 'meh' at best and the snippets were way too short, yet I had to answer the same questionnaire three times? ",520.9496503496504,132.0,715.0,0.0937062937062937,0.586013986013986,0.3202797202797203,Niche
10,DBJ2VO1P3O,26,1,1.0,-2.0,-2.0,-2.0,-1.0,0.0,-2.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,1.0,-1.0,-3.0,-1.0,-3.0,1.0,-2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,10.0,,689.7629688747007,75.0,1253.0,0.13487629688747,0.4293695131683958,0.435754189944134,Diverse
11,GALWQ910RA,24,1,1.0,-3.0,1.0,3.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0,1.0,1.0,2.0,-2.0,-2.0,1.0,-3.0,0.0,-1.0,3.0,0.0,0.0,-1.0,-2.0,-20.0,-25.0,some songs could not be played,424.5748031496063,63.0,1016.0,0.0738188976377952,0.4478346456692913,0.4783464566929133,Niche
12,WFZTMKTIO8,25,2,0.0,-3.0,-3.0,-3.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,-5.0,-14.0,"My musical taste is relatively broad and I've always had songs from a few genres suggested to me. Songs from other genres, which I prefer to listen to, were not suggested to me at all. ",367.5186567164179,64.5,268.0,0.0597014925373134,0.4813432835820895,0.458955223880597,Niche
13,4JN9C5HJU4,24,1,1.0,-3.0,-3.0,-2.0,-3.0,1.0,-2.0,-3.0,-3.0,1.0,-2.0,-1.0,0.0,2.0,-2.0,1.0,-3.0,-2.0,2.0,-3.0,-2.0,-3.0,-3.0,-1.0,-2.0,-2.0,1.0,30.0,44.0,,751.1972717733473,100.0,953.0,0.1521511017838405,0.4323189926547744,0.4155299055613851,Diverse
14,606AAQAJU6,52,2,1.0,-2.0,0.0,1.0,1.0,-1.0,3.0,1.0,0.0,1.0,-1.0,-3.0,1.0,3.0,-1.0,-3.0,-3.0,-3.0,0.0,-2.0,-2.0,1.0,2.0,-3.0,-1.0,0.0,-1.0,30.0,10.0,"Es ist schon Interessant, dass mir Lieder vorgeschlagen wurden, die ich lange nicht mehr gehört haben, aber sehr gut gefunden habe und immer noch mag.",909.1526548672566,105.0,1356.0,0.1674041297935103,0.4387905604719764,0.3938053097345133,Diverse
15,D3SW55DCFH,31,2,-1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,-1.0,-20.0,20.0,,563.934890304317,153.0,1413.0,0.1068648266100495,0.5966029723991507,0.2965322009907997,Niche
16,VIUZHWXV9T,24,2,3.0,0.0,1.0,3.0,3.0,3.0,-3.0,2.0,-1.0,2.0,-3.0,3.0,0.0,-1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,-2.0,3.0,2.0,2.0,2.0,-20.0,15.0,"I really liked the last playlist, it had a lot of artists that I listen to often but I didn't know these particular songs. Hope I can access these recommendation somewhere.",558.6602620087336,122.0,1145.0,0.1126637554585152,0.5423580786026201,0.3449781659388646,Niche
17,WFNW44VV09,28,2,2.0,0.0,2.0,3.0,1.0,2.0,-1.0,1.0,-2.0,2.0,-2.0,2.0,0.0,1.0,2.0,0.0,-2.0,-1.0,1.0,-1.0,-1.0,2.0,-1.0,2.0,2.0,-1.0,-1.0,12.0,26.0,"I am extremely interested in this research! Through this system, I have discovered a lot of songs I enjoy in the generated music playlist. It also allows me to explore different musical genres, preventing me from being confined to just one type. This is truly a fantastic feature, especially compared to other music recommendation systems that tend to suggest only a limited range of song types.

However, I still have some questions about the system. I wonder if the provided songs are primarily focused on works from a few years ago, with fewer selections from the latest music. If it could combine both new and older songs to create a more comprehensive recommendation playlist, I believe that would be a very promising direction for improvement.",679.396923076923,82.0,325.0,0.1353846153846153,0.4123076923076923,0.4523076923076923,Diverse
18,PCM06WWBZD,24,2,2.0,-2.0,1.0,2.0,-1.0,3.0,-1.0,1.0,-1.0,1.0,-2.0,3.0,2.0,1.0,2.0,-3.0,-1.0,-3.0,1.0,-2.0,1.0,1.0,2.0,3.0,2.0,-2.0,3.0,40.0,40.0,"Also, was mich sehr genervt hat ist, dass ich nie wusste wie weit ich bei den Fragen bin. Da hat eine Prozentanzeige oder sowas in der Art gefehlt. Dann waren da sehr viele trash songs bei die ich mir mind dreimal anhören musste weil ich sie vergessen (oder verdrängt) hatte. Es waren sehr viele und vorallem oberflächliche Fragen obwohl es super viele unterschiedliche Geschmäcker gibt. Fragen konnte ich deswegen teilweise nicht richtig beantworten weil es immer die eine und die andere Seite gab und ich mich entscheiden musste aber ich bin entscheidungsunfähig. Die vielen Entscheidungsoptionen haben mich auch überfordert. Ansonsten war ganz ok, hab viele neue Songs für mich entdeckt und bei Spotify in meine Playlist gespeichert.",293.96958174904944,69.0,789.0,0.0430925221799746,0.5082382762991128,0.4486692015209125,Niche
19,J7DXASSAKV,27,1,-1.0,-3.0,-3.0,3.0,-2.0,1.0,3.0,-2.0,0.0,-3.0,2.0,3.0,3.0,3.0,-1.0,-3.0,0.0,-3.0,-1.0,-3.0,1.0,-1.0,0.0,3.0,1.0,2.0,3.0,,,,,,,,,,
20,SIBGAX0G3P,23,1,1.0,-3.0,2.0,2.0,2.0,2.0,-3.0,1.0,-2.0,1.0,-2.0,3.0,-1.0,-3.0,0.0,2.0,-1.0,0.0,1.0,-3.0,0.0,0.0,1.0,3.0,1.0,-1.0,-1.0,-20.0,-5.0,I listen to a lot of reggaeton damn hahaha,774.6503198294243,111.0,1407.0,0.1449893390191897,0.4754797441364605,0.3795309168443497,Diverse
21,AE841B2FOZ,24,1,2.0,-2.0,1.0,1.0,-1.0,3.0,-3.0,1.0,-1.0,2.0,-2.0,3.0,1.0,-3.0,1.0,3.0,0.0,2.0,2.0,-3.0,3.0,3.0,-1.0,3.0,2.0,-3.0,3.0,14.0,29.0,,318.1068493150685,90.0,1095.0,0.0429223744292237,0.5461187214611872,0.410958904109589,Niche
22,Z4ISRTP4DB,23,2,2.0,0.0,-1.0,2.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,-2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,-1.0,-37.0,33.0,"I found it difficult to say whether I new ""the songs"" for the first 3 questionnaires because I usually knew some but not most",422.7492711370263,82.5,1372.0,0.0685131195335276,0.5225947521865889,0.4088921282798833,Niche
23,XUWB86ZAYQ,25,1,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,,,,,,,,,,
24,4JUIIVYHRN,25,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-21.0,0.0,,415.19552609776304,65.0,1207.0,0.0671085335542667,0.4631317315658658,0.4697597348798674,Niche
25,T3V46CNZWS,27,1,-1.0,-3.0,-3.0,0.0,0.0,0.0,3.0,-1.0,0.0,-2.0,2.0,3.0,3.0,3.0,-1.0,-2.0,0.0,-3.0,-1.0,-3.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,-40.0,30.0,All three recommendations had a bunch of the same songs. Is that on purpose?,719.2762645914397,208.0,1285.0,0.1346303501945525,0.5844357976653697,0.2809338521400778,Diverse
26,6XNM0KB28G,25,2,2.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,-3.0,-2.0,-3.0,2.0,-2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,21.0,21.0,,699.6388308977035,216.0,1437.0,0.1217814892136395,0.6492693110647182,0.2289491997216423,Niche
27,QIMDN29QS3,24,1,2.0,-3.0,1.0,3.0,1.0,2.0,-1.0,3.0,-3.0,3.0,-3.0,3.0,0.0,3.0,1.0,2.0,1.0,-2.0,3.0,-3.0,3.0,3.0,2.0,3.0,3.0,-3.0,3.0,25.0,15.0,,159.73522167487684,48.5,812.0,0.0123152709359605,0.4433497536945813,0.5443349753694581,Niche
28,,27,1,2.0,2.0,3.0,3.0,3.0,3.0,-2.0,2.0,-2.0,2.0,-3.0,3.0,-1.0,-2.0,1.0,-2.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,
29,WVNSDGJT5R,23,2,1.0,-3.0,-1.0,2.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,3.0,3.0,-2.0,0.0,3.0,-1.0,-2.0,1.0,-3.0,1.0,-2.0,0.0,3.0,1.0,1.0,-1.0,25.0,38.0,,894.5568181818181,159.5,1320.0,0.1984848484848485,0.4765151515151515,0.325,Diverse
30,G2WKWJH2HY,24,1,2.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,-10.0,-15.0,nein,178.47504621072088,44.0,541.0,0.0184842883548983,0.4362292051756007,0.5452865064695009,Niche
31,ZDTPZMDCUB,,1,-1.0,-3.0,-1.0,0.0,-3.0,0.0,0.0,-2.0,2.0,1.0,2.0,-2.0,2.0,3.0,-2.0,-3.0,-3.0,-3.0,-1.0,-3.0,-1.0,-2.0,2.0,-2.0,-1.0,-3.0,0.0,-10.0,-20.0,"Teilweise war es schwierig auf die Fragen zu antworten, weil die Antwort je nach Song unterschiedlich ausfällt",530.7833733013589,103.0,1251.0,0.1047162270183852,0.5251798561151079,0.3701039168665068,Niche
32,TKYEP4V2V9,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Y0MBDFKYT0,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2KCJJZJ8TQ,33,1,1.0,-3.0,-2.0,0.0,-2.0,0.0,2.0,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,-1.0,-3.0,-3.0,-3.0,1.0,-3.0,1.0,-1.0,2.0,1.0,-1.0,-2.0,-1.0,15.0,11.0,,1538.061876247505,585.5,2004.0,0.3068862275449102,0.5643712574850299,0.1287425149700598,Diverse
35,B44P0PXVWX,23,1,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.0,-3.0,-3.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-40.0,30.0,,425.08251473477407,73.5,1018.0,0.0785854616895874,0.4705304518664047,0.4508840864440078,Niche
36,GO0FBQPQ37,24,1,1.0,-3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,-3.0,-2.0,-3.0,1.0,-3.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-38.0,0.0,"In some questions I wasn't sure on how to answer them so thats why I chose the ""Neither agree/disagree"" option. For example when asking if I already liked/knew the tracks and I knew/liked some of them but not all of them, I thought better to choose the neutral answer.",1488.782905982906,475.5,1170.0,0.3017094017094017,0.5230769230769231,0.1752136752136752,Diverse
37,C0MO9CFU9G,25,2,-1.0,-3.0,1.0,2.0,-1.0,2.0,2.0,-1.0,0.0,1.0,-2.0,1.0,1.0,-3.0,2.0,-1.0,-2.0,-2.0,-1.0,-3.0,1.0,-1.0,-2.0,1.0,2.0,1.0,-3.0,16.0,28.0,,470.7078313253012,82.5,996.0,0.0963855421686747,0.4859437751004016,0.4176706827309236,Niche
38,BQRVR7N6N0,24,1,1.0,-3.0,1.0,2.0,0.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-3.0,-2.0,-1.0,1.0,-3.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-33.0,25.0,,1494.6611047180668,433.5,1738.0,0.2940161104718067,0.5046029919447641,0.2013808975834292,Diverse
39,BLTBW4ZOSJ,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1U2GZ2AB8S,24,2,2.0,-2.0,-1.0,-1.0,-2.0,1.0,3.0,1.0,1.0,1.0,-1.0,3.0,1.0,3.0,-3.0,-1.0,-2.0,-2.0,2.0,-2.0,1.0,1.0,-2.0,3.0,2.0,2.0,3.0,,,,,,,,,,
41,L1AKBXI9TN,26,1,-1.0,-3.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,3.0,1.0,-3.0,-1.0,-2.0,-1.0,-3.0,0.0,-3.0,2.0,-1.0,1.0,-1.0,-2.0,,,,,,,,,,
42,GPM2I6EIUZ,22,1,-2.0,-2.0,1.0,1.0,-1.0,1.0,3.0,-2.0,1.0,-1.0,1.0,0.0,2.0,3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,0.0,-1.0,-1.0,-3.0,0.0,40.0,,890.634909596662,183.5,1438.0,0.1842837273991655,0.5132127955493742,0.3025034770514603,Diverse
